識別號,年度,主聘系所,教師姓名,專兼任,狀態,專案案號,專案案名,專案類型,計畫性質,是否為補助在籍學生之人才培育相關課程(計畫)或就業學程,執行起始日期,執行結束日期,工作類別,經費狀態,計畫總金額(元),政府出資金額,企業出資金額,其他單位出資金額,學校(研究學院)出資金額,主要經費來源,單位名稱,次要經費來源,受惠機構名稱,國內委託單位,國外委託單位,國內合作單位,國外合作單位,他校轉入的專案,專案已轉至他校
1248970,113,嘉義分部護理系,洪嫦巧,專任,續聘,113-2314-B-037 -050 -MY2,獨居外傷老人就醫經驗與外傷老人照護方案對獨居外傷老人之長期成效 (2-3年),政府學術研究計畫-國科會專題研究計畫,--,,2024/8/1,2025/7/31,共同(協同)主持人,,0,0,0,0,0,國科會,國科會,,,科技部,,,,否,否
1248972,113,嘉義分部護理系,林春只,專任,續聘,CDRPF6P0011,運用溯因推理建構急症護理情境案例概念圖及遊戲拼圖以統合學理知識、增進推理邏輯思考及臨床決策能力- 急症護理課程學習成效評估(1/1),其他單位產學計畫,A1專題研究,,2024/1/1,2024/12/31,主持人,原核定,"694,318",0,0,"694,318",0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1248949,113,嘉義分部護理系,郭星君,專任,續聘,CMRPF6M0073,臺灣藜液態發酵萃取物對於大鼠高血壓及血管性失智症之保護作用機制(3/3),其他單位產學計畫,A1專題研究,,2024/12/1,2025/11/30,主持人,原核定,"805,000",0,0,"805,000",0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1248974,113,嘉義分部護理系,江耀璋,專任,續聘,CMRPF6M0083,探討IL11對於原位及肺癌骨轉移的腫瘤微環境的角色(3/3),其他單位產學計畫,A1專題研究,,2024/11/1,2025/10/31,共同(協同)主持人,,0,0,0,0,0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1248951,113,嘉義分部護理系,郭星君,專任,續聘,CMRPF6N0032,建構全新神經膠質細胞共培養模型來探討腦內先天免疫記憶的分子機制：小膠質細胞免疫耐受與訓練免疫(2/3),其他單位產學計畫,A1專題研究,,2024/8/1,2025/7/31,主持人,原核定,"805,000",0,0,"805,000",0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1248980,113,嘉義分部護理系,蘇清菁,專任,續聘,CMRPF6N0052,營養與運動緩衰弱方案對老年結腸直腸癌病人體能活動表現與健康狀態之成效(2/2),其他單位產學計畫,A1專題研究,,2024/10/1,2025/9/30,主持人,原核定,"659,594",0,0,"659,594",0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1248966,113,嘉義分部護理系,黃淑倫,專任,續聘,CMRPF6P0011,(國) 大氣懸浮微粒對COVID-19、神經退行性疾病及精神與行為疾患惡化評估-朴子市追蹤研究(1/1),其他單位產學計畫,A1專題研究,,2024/1/1,2024/12/31,主持人,原核定,"769,988",0,0,"769,988",0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1248963,113,嘉義分部護理系,鄭靜瑜,專任,續聘,CMRPF6P0031,應用演變型情境案例於提升護理學生學習自我效能與團隊協作能力之探討(1/1),其他單位產學計畫,A1專題研究,,2024/6/1,2025/5/31,主持人,原核定,"589,605",0,0,"589,605",0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1249046,113,嘉義分部護理系,郭素娥,專任,續聘,CORPF6P0011,懸浮微粒總計畫-懸浮微粒與炎症影響物對COPD急性惡化與肺損傷的影響與防護措施之建立與成效(1/3),其他單位產學計畫,A1專題研究,,2024/2/1,2025/1/31,主持人,原核定,0,0,0,0,0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1249045,113,嘉義分部護理系,郭素娥,專任,續聘,CORPF6P0021,懸浮微粒子計畫1-懸浮微粒及口腔照護對COPD病患發炎、急性發作及臨床症狀之影響與其防護措施之建立與成效(1/3),其他單位產學計畫,A1專題研究,,2024/2/1,2025/1/31,主持人,原核定,"899,810",0,0,"899,810",0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1248977,113,嘉義分部護理系,江耀璋,專任,續聘,CORPF6P0041,本蝴蝶素A奈米製劑對抗空氣懸浮微粒誘發口腔及肺部慢性發炎疾病之保護機轉(1/3),其他單位產學計畫,A1專題研究,,2024/2/1,2025/1/31,共同(協同)主持人,,0,0,0,0,0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
